Nan,Data
1,0.013557344
1,0.037348281
1,0.064402083
1,0.143100052
1,0.060468906
1,0.236269375
1,0.001022448
1,0.148822708
1,0.130619479
1,0.10244276
1,0.024241354
1,0.119138958
1,0.011881354
1,0.016926146
1,-0.000333229
1,0.007485417
1,-0.002250729
1,0.086271667
1,0.005734531
1,0.058120885
1,0.137516823
1,-0.010419583
1,0.112531302
1,0.044598385
1,0.016989844
1,0.011747187
1,0.174894219
1,0.005015313
1,0.070293646
1,0.245490417
1,0.461158281
1,0.09536599
1,-0.003570729
1,0.18764875
1,0.064145313
1,0.049214792
1,0.159387188
1,-0.011022656
1,0.005395312
1,0.06944224
1,0.004260208
1,0.019326719
1,0.00449849
1,0.005615885
1,0.077781875
1,0.044257187
1,0.094094635
1,0.00449125
1,0.012690573
1,0.161755781
1,0.205449583
1,0.159339792
1,0.460295365
1,0.076234635
1,0.005735417
1,0.112684531
1,-0.010824792
1,0.01201651
1,0.059123333
1,0.012477188
1,0.01743401
1,0.002560521
1,0.011577135
1,0.284306198
1,-0.02672099
1,0.151084844
1,0.12033724
1,-0.004187604
1,-0.000744688
1,0.26760974
1,0.072051406
1,0.334394896
1,0.012483125
1,0.009768125
1,-0.000546458
1,0.007530365
1,0.005777292
1,-0.002418333
1,-0.009507604
1,-0.005641719
1,0.157527604
1,0.028526563
1,0.08076599
1,0.338327761
1,-0.009590313
1,0.014725156
1,0.008145052
1,0.06925
1,0.107104167
1,0.079150521
1,-0.011954167
1,0.118950365
1,0.124426823
1,0.006347292
1,0.000973021
1,0.48412849
1,-0.00948125
1,0.005492969
1,0.008243021
1,0.270097188
1,-0.002257448
1,0.007372187
1,0.458846042
1,0.000477917
1,0.088428698
1,0.111276615
1,0.104332708
1,0.095368125
1,0.157591458
1,5.42E-06
1,0.066469948
1,0.020170521
1,0.07168724
1,0.071124063
1,-0.004030365
1,0.122158854
1,0.012192552
1,0.1406525
1,0.006022552
1,0.212616563
1,0.008866875
1,-0.00148625
1,0.074932344
1,0.312771458
1,0.159701823
1,0.001648542
1,-0.032904271
1,0.034341354
1,0.011061354
1,0.014978333
1,0.002687031
1,0.118981094
1,0.10209526
1,0.119490208
1,-0.013806146
1,0.082440469
1,0.013337188
1,0.014576094
1,0.161771823
1,0.02258375
1,0.123647396
1,0.013493594
1,0.007094063
1,0.007297969
1,0.044479063
1,0.008998281
1,0.009018906
1,0.009660365
1,0.00982625
1,0.184697031
1,0.168979896
1,0.048128177
1,0.410986042
1,-0.003372135
1,0.001941823
1,0.164844792
1,0.127222917
1,-0.033005104
1,0.182248438
1,0.107444427
1,0.078835312
1,0.362218438
1,0.106311458
1,0.019045208
1,0.224474792
1,-0.003423385
1,-0.013416458
1,-0.009903281
1,0.149386875
1,0.147758385
1,0.113852396
1,0.108062135
1,0.244283125
1,0.263542865
1,-0.009802083
1,-0.007199323
1,0.157937969
1,0.225970313
1,-0.005244531
1,0.179354219
1,0.362786823
1,0.037164479
1,0.100686094
1,0.181069115
1,0.004020208
1,0.092140729
1,0.009723594
1,0.097655937
1,0.005803542
1,0.216062865
1,-0.005977448
1,0.185142708
1,0.06493875
1,0.005024479
1,0.059758542
1,0.148906771
1,0.250247656
1,0.211077344
1,-0.002046667
1,0.005972344
1,0.08785776
1,0.196501562
1,-0.013614375
1,-0.004831146
1,0.004695052
1,0.082395781
1,0.236612656
1,-0.005652083
1,0.007143281
1,0.011420208
1,0.059502969
1,0.012570677
1,0.005026302
1,0.07680349
1,0.543456302
1,0.00347099
1,0.015132969
1,0.050292708
1,0.009925729
1,0.00148
1,0.353191927
1,0.067480469
1,0.011352813
1,0.007266615
1,0.012581979
